CONTROL_NUMBER,MONTHS_SINCE_ORIGIN,DONOR_AGE,IN_HOUSE,URBANICITY,SES,CLUSTER_CODE,HOME_OWNER,DONOR_GENDER,INCOME_GROUP,PUBLISHED_PHONE,OVERLAY_SOURCE,MOR_HIT_RATE,WEALTH_RATING,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,PER_CAPITA_INCOME,PCT_ATTRIBUTE1,PCT_ATTRIBUTE2,PCT_ATTRIBUTE3,PCT_ATTRIBUTE4,PEP_STAR,RECENT_STAR_STATUS,RECENCY_STATUS_96NK,FREQUENCY_STATUS_97NK,RECENT_RESPONSE_PROP,RECENT_AVG_GIFT_AMT,RECENT_CARD_RESPONSE_PROP,RECENT_AVG_CARD_GIFT_AMT,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_LAST_PROM_RESP,LIFETIME_CARD_PROM,LIFETIME_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_AVG_GIFT_AMT,LIFETIME_GIFT_RANGE,LIFETIME_MAX_GIFT_AMT,LIFETIME_MIN_GIFT_AMT,LAST_GIFT_AMT,CARD_PROM_12,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT,FILE_AVG_GIFT,FILE_CARD_GIFT
00094473,101,50,0,S,2,18,H,M,7,1,B,1,9,874,419,78,17263,0,31,22,36,0,0,A,1,0.091,20,0.091,20,2,1,25,26,63,127,10,12.7,15,20,5,20,6,13,25,93,12.7,5
00094486,137,82,0,U,1,02,H,M,6,1,B,2,7,1358,447,97,18607,0,17,31,40,0,0,A,3,0.235,9.25,0.143,12,4,1,20,27,63,83,11,7.55,9,12,3,3,5,11,19,124,7.55,5
00094506,41,49,0,U,4,10,U,F,1,1,B,0,,684,94,16,7059,0,16,23,48,0,0,A,2,0.111,11,0,0,2,0,18,11,27,27,3,9,10,15,5,15,5,11,18,38,9,1
00094609,125,28,0,S,2,16,U,M,2,1,M,7,5,855,332,83,15228,0,32,15,52,1,1,S,4,0.211,5.25,0.333,5,4,3,21,28,65,71,15,4.73,8,10,2,5,6,12,17,122,4.73,12
00094636,77,57,0,U,4,10,H,F,5,0,B,0,1,561,265,52,7198,0,0,0,0,0,0,E,1,0.118,16,0,0,2,0,15,17,47,76,6,12.67,6,16,10,16,3,10,15,69,12.67,3
00094677,137,85,0,U,2,05,H,M,5,1,B,0,6,1123,412,83,16968,0,28,16,69,1,1,S,2,0.235,16,0.333,16,4,3,17,22,59,291,29,10.03,13,18,5,18,4,8,17,128,10.03,11
00094833,41,,0,U,1,03,U,M,,0,N,0,3,1531,260,32,18324,0,16,40,29,1,1,S,1,0.238,12,0.1,10,5,1,24,16,40,72,7,10.29,10,15,5,15,6,12,24,44,10.29,3
00094884,65,54,0,S,2,18,H,M,5,1,B,1,7,927,388,72,15328,0,23,0,48,0,0,A,1,0.053,35,0,0,1,0,18,18,42,90,3,30,10,35,25,35,6,13,18,57,30,1
00094913,65,49,0,U,2,07,U,F,7,0,P,0,2,891,254,22,9090,0,8,14,52,0,0,A,3,0.238,10.8,0.2,11.5,5,2,18,19,45,88,9,9.78,4,12,8,10,6,13,18,56,9.78,2
00094944,41,62,0,U,1,03,U,U,,0,N,0,6,1866,291,35,18450,0,29,32,22,0,0,A,4,0.364,8.25,0.364,12.5,8,4,17,17,43,110,13,8.46,12,15,3,4,6,12,17,45,8.46,5
00094975,41,75,0,U,1,01,U,M,5,0,P,0,,0,0,0,0,0,20,30,28,0,0,A,2,0.118,13.5,0.286,13.5,2,2,20,12,32,32,3,10.67,10,15,5,15,6,14,20,38,10.67,2
00095089,29,,0,C,2,27,U,M,,0,N,0,,725,420,78,13381,0,24,58,9,0,0,A,1,0.133,25,0,0,2,0,20,11,25,50,2,25,0,25,25,25,6,13,20,32,25,0
00095260,137,,0,R,2,44,U,M,,0,N,0,5,716,379,84,14680,1,33,36,21,1,1,S,4,0.684,3.15,0.727,2.63,13,8,15,35,80,100.75,39,2.58,4,5,1,3,6,14,15,130,2.58,21
00095399,29,45,0,R,2,49,U,M,2,0,P,0,,407,300,80,11354,0,33,51,8,0,0,A,1,0.143,16,0,0,2,0,26,9,22,32,2,16,2,17,15,17,4,10,26,30,16,0
00095437,17,46,0,R,2,44,U,M,2,1,B,1,,560,303,71,14184,0,41,25,30,0,0,F,1,0.2,23,0.5,23,1,1,17,6,15,23,1,23,0,23,23,23,5,12,17,17,23,1
00095728,89,69,0,S,2,18,H,F,3,0,P,0,5,687,405,74,14237,0,33,41,19,1,11,A,1,0.091,25,0.091,25,2,1,25,25,64,154,12,12.83,20,25,5,25,6,13,25,87,12.83,5
00095762,41,59,0,C,2,28,H,F,7,1,B,47,,865,385,69,19467,0,32,19,45,0,0,A,3,0.19,9.5,0.1,5,4,1,18,15,33,49,6,8.17,8,13,5,11,6,13,18,38,8.17,2
00096080,137,77,0,T,2,36,U,F,2,0,B,0,,568,220,68,12599,0,37,28,28,1,1,S,3,0.176,5.67,0.429,5.67,3,3,17,26,62,62,18,3.44,5,7,2,3,4,10,16,119,3.44,12
00096104,89,43,0,R,2,49,H,M,7,0,P,0,5,421,302,75,12477,0,28,30,28,0,0,A,1,0.048,20,0,0,1,0,26,23,58,123,9,13.67,17,20,3,20,5,10,26,81,13.67,2
00096140,113,7,0,T,3,41,H,M,2,1,B,8,3,691,310,57,15095,0,31,17,59,1,0,A,1,0.105,15,0,0,2,0,18,23,61,99,9,11,11,16,5,16,4,11,18,105,11,6
00096254,113,75,0,T,3,41,U,F,2,1,B,13,1,216,208,71,10531,0,43,32,31,1,19,A,1,0.05,16,0,0,1,0,26,26,64,111,11,10.09,11,16,5,16,4,9,26,110,10.09,7
00096344,137,,0,T,3,41,H,F,2,1,B,5,1,293,219,78,10914,0,17,0,49,1,10,A,2,0.2,9,0.143,7,3,1,15,25,62,117,19,6.16,7,10,3,10,3,7,15,129,6.16,11
00096461,29,67,0,C,3,30,U,F,1,1,B,4,,322,196,62,8341,0,27,44,26,1,0,A,3,0.308,9.5,0.333,10.5,4,2,19,10,24,38,4,9.5,7,12,5,12,6,13,19,28,9.5,2
00096481,89,69,0,S,2,16,U,M,,0,N,0,3,590,333,69,16628,1,45,10,52,1,0,A,1,0.053,17,0,0,1,0,18,23,58,98,7,14,7,17,10,17,6,13,18,77,14,3
00096504,77,,0,S,2,16,U,M,4,0,P,0,,363,226,66,11812,0,43,27,34,0,0,A,1,0.143,20.33,0,0,3,0,26,19,51,95,7,13.57,21,26,5,20,5,11,26,68,13.57,3
00096585,89,73,0,C,2,25,H,M,2,1,B,2,0,487,164,42,10745,0,26,35,17,1,1,S,3,0.263,20.2,0.273,21.67,5,3,19,25,58,181,11,16.45,20,25,5,20,6,14,19,81,16.45,7
00096630,101,59,0,?,?, .,H,M,2,1,P,0,2,317,206,73,12160,0,0,0,0,1,1,S,2,0.227,16.4,0.182,11,5,2,18,27,74,225,23,9.78,22,25,3,25,6,13,18,93,9.78,12
00096840,113,,0,R,2,49,U,F,,0,N,0,2,443,295,76,11995,0,32,24,33,1,3,A,1,0.25,3.5,0.286,1,4,2,26,26,55,45,33,1.36,9,10,1,10,4,10,26,100,1.36,23
00096841,77,81,0,R,2,49,U,F,2,0,P,0,5,632,338,81,13561,1,30,35,26,0,0,A,1,0.118,13,0,0,2,0,19,14,41,47,5,9.4,10,15,5,15,4,10,19,77,9.4,2
00097040,125,,0,C,1,24,H,F,4,1,B,0,8,1828,573,94,32703,0,35,38,25,1,1,S,2,0.15,13.67,0.222,13,3,2,16,29,71,146,14,10.43,10,15,5,15,6,14,16,122,10.43,11
00097055,77,67,0,R,2,49,H,F,2,0,P,0,4,412,311,76,13227,0,40,36,29,0,0,A,1,0.056,16,0,0,1,0,26,19,46,56,6,9.33,11,16,5,16,5,10,26,76,9.33,1
00097211,77,49,0,C,2,27,H,M,7,0,B,0,6,510,233,58,9845,0,17,28,36,0,0,A,1,0.105,30,0.2,30,2,2,24,23,55,115,5,23,20,30,10,30,6,13,24,73,23,4
00097221,77,66,0,R,2,49,U,F,2,0,P,0,3,418,330,81,14006,0,39,31,36,1,0,A,1,0.118,20,0,0,2,0,15,18,46,66,6,11,20,25,5,25,5,12,15,67,11,2
00097378,41,,0,C,2,27,U,M,,0,N,0,,556,335,76,16500,0,37,22,33,1,1,S,4,0.316,4.17,0.5,4.2,6,5,21,15,36,44,9,4.89,7,10,3,10,6,13,18,41,4.89,6
00097512,125,67,0,C,3,30,U,F,1,1,M,3,1,352,153,31,10814,1,39,17,32,1,0,A,1,0.05,40,0,0,1,0,24,30,77,425.6,14,30.4,62,65,3,40,6,13,24,124,30.4,8
00097537,41,27,0,T,3,41,U,M,2,0,P,0,,316,200,71,9619,0,39,31,27,0,0,A,4,0.333,4.33,0.375,3.67,6,3,15,13,31,29,7,4.14,3,6,3,4,5,12,15,40,4.14,4
00097709,137,51,0,C,1,24,H,M,7,1,B,2,5,867,399,44,16933,21,33,32,10,1,0,A,1,0.083,12,0.2,12,1,1,21,13,39,101,15,6.73,7,12,5,12,2,6,21,129,6.73,8
00097741,77,66,0,S,1,13,H,F,1,0,P,0,9,1488,540,81,33250,0,31,22,34,0,0,A,3,0.211,9.75,0.111,10,4,1,17,20,50,67,9,7.44,7,10,3,10,6,11,17,69,7.44,3
00097788,29,,0,T,3,41,U,F,,0,N,0,,430,178,75,9580,0,31,42,18,1,0,A,3,0.308,7.75,0.333,6.5,4,2,15,10,28,37,5,7.4,7,10,3,10,6,16,15,29,7.4,2
00097843,137,57,0,R,3,51,H,F,5,1,B,0,1,409,235,81,10538,0,33,26,30,1,0,A,1,0.091,15,0,0,1,0,24,23,56,75,9,8.33,10,15,5,15,4,9,24,128,8.33,6
00097874,53,,0,R,2,46,U,M,1,1,M,3,,588,267,63,10817,1,42,47,21,0,0,A,3,0.316,4.83,0.333,3.67,6,3,20,16,43,45,12,3.75,8,10,2,10,6,13,20,52,3.75,4
00097916,53,26,0,R,2,46,H,M,5,1,B,4,3,588,267,63,10817,1,42,47,21,1,0,A,3,0.25,24.4,0.3,23.67,5,3,18,19,46,164,8,20.5,23,33,10,33,6,13,18,53,20.5,4
00097937,89,35,0,R,3,51,H,F,5,1,B,11,1,409,235,81,10538,0,33,26,30,0,0,A,1,0.05,17,0,0,1,0,26,19,50,70,6,11.67,12,17,5,17,5,10,26,80,11.67,4
00098002,65,,0,C,2,28,U,M,4,1,M,2,,547,244,87,13208,1,35,19,47,0,0,A,1,0.056,15,0,0,1,0,25,17,45,46,5,9.2,12,15,3,15,5,10,25,65,9.2,1
00098030,137,78,0,C,3,30,U,F,2,0,B,0,0,451,281,91,12628,0,40,27,46,1,3,A,1,0.15,10,0,0,3,0,25,31,71,132,21,6.29,5,10,5,10,5,12,25,126,6.29,13
00098332,65,39,0,C,2,27,U,F,,1,N,0,2,1223,420,96,18631,0,19,45,37,0,0,A,2,0.15,15.67,0.222,16,3,2,16,17,47,72,6,12,12,17,5,17,6,14,16,63,12,4
00098536,137,,0,R,2,49,U,M,1,0,P,0,3,414,267,74,11719,0,31,29,35,1,4,A,1,0.136,13.33,0.182,12.5,3,2,21,31,67,115,10,11.5,10,15,5,15,6,12,21,126,11.5,7
00098552,29,47,0,T,1,34,H,F,5,0,P,0,,672,337,70,15059,0,25,6,71,0,0,A,2,0.2,10.67,0.286,8.5,3,2,17,10,24,32,3,10.67,10,15,5,12,5,11,17,32,10.67,2
00098617,41,83,0,T,2,40,U,F,2,0,P,0,,386,267,71,11894,0,29,27,40,0,0,A,4,0.25,16,0.2,20,5,2,17,16,36,95,7,13.57,20,25,5,15,6,13,17,41,13.57,3
00098652,29,49,0,C,2,27,H,F,4,0,P,0,,541,367,86,11412,0,25,61,0,0,0,N,1,0.125,20,0,0,1,0,23,5,13,20,1,20,0,20,20,20,3,8,23,23,20,0
00098806,137,73,0,T,2,37,U,M,5,1,B,3,0,404,268,78,14532,0,37,23,63,1,1,S,2,0.188,10,0.125,11,3,1,21,31,74,168,22,7.64,6,11,5,10,6,13,18,128,7.64,12
00099141,89,69,0,T,2,36,U,F,1,1,B,1,1,380,175,70,8920,1,35,26,42,1,1,S,4,0.571,3.33,0.6,3.67,12,6,17,24,58,71,21,3.38,2,5,3,5,6,13,17,78,3.38,11
00099166,125,73,0,R,2,45,U,M,,0,N,0,1,1423,640,98,20684,3,39,27,25,1,1,S,4,0.35,14.43,0.455,14.2,7,5,15,32,82,392,34,11.53,13,16,3,15,6,14,15,119,11.53,19
00099308,101,33,0,S,2,18,H,M,5,1,B,0,7,708,302,63,13972,0,28,27,25,0,0,A,1,0.053,20,0,0,1,0,27,18,46,56,5,11.2,15,20,5,20,4,9,27,93,11.2,2
00099410,53,77,0,C,1,24,H,F,7,1,B,2,9,2041,856,98,43661,0,33,24,49,0,0,A,2,0.15,13.67,0.1,9,3,1,21,16,39,59,6,9.83,22,25,3,9,5,10,21,53,9.83,3
00099524,113,44,0,S,2,18,U,U,,0,N,0,,988,509,84,15666,0,30,42,15,1,1,S,3,0.263,5,0.333,5,5,3,17,27,70,73,18,4.06,3,6,3,5,5,12,17,110,4.06,12
00099549,125,37,0,R,2,49,H,F,6,1,P,0,5,675,312,84,10538,0,31,33,32,0,0,A,1,0.111,18,0.222,18,2,2,22,19,47,64,6,10.67,18,21,3,21,6,12,22,124,10.67,3
00099644,137,39,0,S,1,12,H,F,3,1,B,2,8,846,457,75,17411,0,30,26,32,1,1,S,2,0.143,8.33,0.2,7.5,3,2,19,31,75,75,17,4.41,8,10,2,10,6,13,19,115,4.41,11
00099711,89,60,0,S,1,11,H,M,4,0,B,8,,838,449,80,19201,0,22,41,22,0,0,A,4,0.316,5.83,0.333,6.67,6,3,18,21,52,57,10,5.7,2,7,5,7,6,12,18,80,5.7,6
00099774,113,76,0,T,2,39,H,M,3,0,P,0,6,649,316,86,11708,0,31,37,19,1,1,S,2,0.19,10.25,0.182,11.5,4,2,18,29,70,113,17,6.65,12,15,3,15,6,13,18,112,6.65,7
00099861,101,74,0,R,2,43,H,F,2,1,B,1,1,663,225,83,8561,0,17,99,0,1,1,S,4,0.474,5,0.556,5,9,5,16,24,61,90,18,5,0,5,5,5,4,8,16,105,5,13
00099862,113,67,0,R,2,43,H,U,2,1,B,17,,408,203,82,15861,0,45,23,58,0,0,A,2,0.2,6.75,0.222,7.5,4,2,16,26,58,65,12,5.42,7,10,3,10,6,14,16,105,5.42,8
00099878,41,65,0,T,2,39,H,F,5,0,P,0,,596,279,79,11738,0,30,37,24,1,1,S,2,0.222,11.5,0.333,9.67,4,3,18,14,33,60,6,10,14,17,3,17,6,13,18,41,10,4
00100058,65,74,0,U,4,10,U,M,1,0,B,11,5,442,145,56,11531,0,47,8,53,0,0,N,2,0.227,16,0.273,15,5,3,17,27,60,157,11,14.27,10,20,10,10,11,23,15,57,14.27,5
00100119,41,67,0,S,3,21,U,F,,0,N,0,3,381,249,72,8321,0,13,33,0,1,1,S,2,0.15,17.33,0,0,3,0,20,15,37,62,4,15.5,10,20,10,20,6,12,20,44,15.5,0
00100174,29,71,0,U,3,08,H,M,1,1,B,2,,659,364,92,14288,0,34,10,55,0,0,N,2,0.2,20,0.25,20,2,1,16,8,20,40,2,20,0,20,20,20,5,12,16,24,20,1
00100353,137,87,0,C,1,23,U,U,,0,N,0,8,527,351,81,12977,0,28,21,38,1,0,E,2,0.235,18.75,0.444,18.75,4,4,17,31,72,247,14,17.64,20,30,10,30,5,13,17,114,17.64,11
00100441,29,,0,C,3,30,H,F,5,1,B,0,,1151,482,93,16432,0,36,32,33,0,0,A,4,0.353,7.17,0.5,6.5,6,4,19,12,29,48,7,6.86,5,10,5,10,6,13,19,33,6.86,4
00100472,41,69,0,C,2,26,H,M,4,1,M,10,,823,304,55,17420,0,40,21,27,0,0,A,1,0.111,12.5,0,0,2,0,18,13,30,28,3,9.33,17,20,3,20,6,13,18,40,9.33,1
00100489,137,66,0,S,1,12,H,M,3,1,B,30,8,767,415,92,16073,1,32,41,36,1,1,S,2,0.238,8.6,0.364,8.25,5,4,23,32,82,289,33,8.76,22,25,3,9,5,12,23,127,8.76,20
00100507,41,53,0,S,1,12,H,F,7,1,B,0,,1059,485,86,19757,0,33,31,34,1,0,A,3,0.222,7.25,0.5,7.25,4,4,15,13,31,44,7,6.29,5,10,5,10,4,7,15,44,6.29,5
00100509,65,56,0,S,1,13,H,M,6,1,B,1,9,1266,570,96,20152,0,36,12,35,0,0,A,1,0.059,25,0.143,25,1,1,21,17,47,73,5,14.6,15,25,10,25,6,12,21,62,14.6,3
00100537,29,,0,S,1,12,U,U,,0,N,0,,1065,555,97,17432,0,24,45,17,0,0,A,4,0.333,5.6,0.375,5.67,5,3,19,12,26,32,6,5.33,3,7,4,5,6,12,19,32,5.33,3
00100606,17,41,0,C,1,23,U,F,5,1,B,0,,1038,329,17,26735,0,31,10,52,0,0,F,1,0.143,20,0,0,1,0,20,6,16,20,1,20,0,20,20,20,4,11,20,20,20,0
00100641,77,54,0,S,1,11,H,F,7,1,B,11,9,973,540,75,22429,1,48,20,44,0,0,A,1,0.053,25,0.111,25,1,1,16,19,50,81,5,16.2,15,25,10,25,6,14,16,69,16.2,2
00100736,29,33,0,U,3,08,H,F,3,1,B,4,,621,327,88,13985,2,23,45,0,0,0,A,1,0.154,15,0.167,10,2,1,15,10,22,30,2,15,10,20,10,20,5,11,15,29,15,1
00100905,77,33,0,C,1,24,U,U,4,0,M,0,8,887,117,42,6579,0,38,27,12,0,0,A,1,0.105,18.5,0.111,20,2,1,26,13,30,57,4,14.25,10,20,10,17,5,11,26,75,14.25,2
00100933,41,65,0,C,1,24,H,M,4,0,B,0,8,943,457,80,15032,2,29,56,12,0,0,A,2,0.176,13.67,0.25,12.5,3,2,21,14,33,46,4,11.5,11,16,5,15,6,12,21,45,11.5,3
00101033,89,40,0,T,2,39,H,M,4,1,B,2,7,696,387,94,12711,0,17,46,6,0,0,A,1,0.071,17,0.167,17,1,1,18,18,45,69,5,13.8,7,17,10,17,4,10,18,78,13.8,4
00101113,137,39,0,C,2,27,U,F,,0,N,0,7,839,456,91,14713,0,28,53,14,1,0,A,3,0.227,12.8,0.182,11,5,2,15,33,75,154,16,9.63,15,20,5,10,6,14,15,120,9.63,7
00101170,77,68,0,T,2,36,H,M,2,1,B,2,5,280,209,77,12283,0,44,0,52,1,1,S,3,0.227,15,0.273,13.33,5,3,19,24,61,189,15,12.6,15,20,5,20,6,14,19,73,12.6,8
00101256,125,,0,R,2,43,U,F,2,0,P,0,1,368,217,81,9492,0,25,43,26,1,10,A,1,0.105,13,0.125,13,2,1,18,28,71,152,19,8,13,15,2,13,5,12,18,123,8,10
00101293,41,37,0,T,2,36,H,M,2,1,B,2,3,434,230,80,11200,0,30,28,42,1,1,S,2,0.19,8,0.273,8,4,3,22,17,39,66,9,7.33,15,18,3,10,6,11,22,44,7.33,4
00101492,41,61,0,T,2,36,U,F,5,1,B,6,,312,175,47,7553,0,34,37,26,0,0,A,3,0.158,9,0.125,7,3,1,19,13,31,42,5,8.4,5,10,5,10,6,12,18,39,8.4,2
00101554,137,71,0,R,3,51,U,F,1,1,B,5,0,241,136,46,6283,3,26,32,29,1,4,A,1,0.176,7.33,0.333,7.33,3,3,17,29,73,108,15,7.2,9,12,3,10,5,12,17,128,7.2,12
00101654,41,55,0,C,2,27,H,F,4,1,P,0,,634,322,51,14128,1,31,49,18,1,0,A,2,0.238,16.4,0.3,12.67,5,3,22,15,34,92,6,15.33,14,24,10,16,6,12,22,41,15.33,4
00101676,89,63,0,C,1,24,H,M,6,0,B,14,9,1162,529,79,18860,0,35,48,15,1,0,A,2,0.167,14,0.25,13.5,3,2,20,22,54,81,8,10.13,12,15,3,15,6,13,20,88,10.13,5
00102030,17,68,0,T,1,35,H,F,5,1,B,19,,900,470,86,16360,0,29,42,10,0,0,F,1,0.25,25,0.5,25,1,1,17,6,13,25,1,25,0,25,25,25,5,11,17,17,25,1
00102398,137,69,0,C,2,25,H,F,3,1,M,22,1,442,213,15,14114,0,14,40,29,1,1,S,2,0.333,11.8,0.3,13.67,5,3,18,27,58,124,24,5.17,23,25,2,13,4,7,18,128,5.17,8
00102482,65,66,0,S,3,21,H,F,4,1,M,17,6,509,292,82,15374,0,37,8,47,0,0,A,4,0.176,6.67,0.429,6.67,3,3,17,14,35,33,7,4.71,8.5,10,1.5,10,6,13,17,55,4.71,5
00102706,137,42,0,C,1,24,H,F,7,1,B,3,8,835,401,80,20242,1,37,31,35,1,1,S,3,0.389,4.14,0.7,4.14,7,7,21,27,66,81,24,3.38,14,15,1,5,5,11,21,130,3.38,13
00103077,137,7,0,T,3,41,U,U,,0,N,0,1,235,88,52,7387,0,26,0,57,1,1,S,4,0.4,3.88,0.455,4,8,5,19,33,77,96.5,30,3.22,4.5,6,1.5,5,6,12,19,129,3.22,20
00103111,17,30,0,R,2,44,H,F,3,1,B,3,,509,373,86,12992,0,19,11,29,0,0,F,1,0.143,15,0,0,1,0,19,6,15,15,1,15,0,15,15,15,4,10,19,19,15,0
00103157,53,53,0,R,1,42,U,F,7,0,P,0,0,845,249,74,15603,0,44,32,39,0,0,A,2,0.105,14,0.125,15,2,1,20,16,39,44,4,11,10,15,5,15,6,12,20,52,11,3
00103194,29,77,0,R,2,48,H,M,4,0,P,0,,727,198,88,12118,0,59,13,51,0,0,N,1,0.1,17,0.25,17,1,1,24,6,15,17,1,17,0,17,17,17,3,7,24,24,17,1
00103225,41,54,0,R,2,44,H,F,5,1,B,7,,503,312,88,11362,0,20,37,7,1,1,S,4,0.389,6.43,0.5,6.2,7,5,16,14,33,49,8,6.13,3,7,4,7,6,14,16,36,6.13,5
00103290,137,71,0,C,1,24,H,M,5,1,B,1,9,736,617,91,25623,0,47,18,36,1,1,S,2,0.167,11.33,0.25,12,3,2,18,30,69,144,15,9.6,12,15,3,10,6,13,18,130,9.6,9
00103320,29,47,0,C,2,27,H,F,1,1,M,20,,423,228,56,9698,3,19,10,56,1,0,A,4,0.353,4.5,0.375,4.67,6,3,16,12,29,30,7,4.29,3,6,3,6,6,13,16,32,4.29,3
00103426,113,30,0,T,2,36,U,F,,1,N,0,5,375,242,67,13528,0,36,26,44,1,1,S,2,0.136,9.33,0.182,9,3,2,26,30,70,125,15,8.33,17,20,3,10,5,11,26,110,8.33,10
00103468,101,56,0,T,2,36,U,F,2,1,M,11,5,476,219,79,10966,1,36,29,34,0,0,A,1,0.095,11.5,0,0,2,0,18,20,42,71,10,7.1,12,15,3,15,6,13,18,91,7.1,5
00103474,77,60,0,T,2,36,U,M,2,0,B,1,1,476,219,79,10966,1,36,29,34,1,1,S,2,0.2,10,0.2,10,4,2,21,21,50,91,14,6.5,7,10,3,10,5,10,21,66,6.5,6
00103488,137,67,0,T,2,36,H,F,5,1,P,0,,476,219,79,10966,0,36,20,47,1,1,S,4,0.467,7.5,0.429,8.33,7,3,15,19,50,125,23,5.43,8,10,2,2.5,4,11,15,126,5.43,13
00103590,41,,0,R,3,53,U,M,,0,N,0,,397,203,77,9609,0,36,26,41,0,0,A,1,0.1,17.5,0,0,2,0,20,14,34,45,3,15,10,20,10,20,6,12,20,41,15,1
00103644,53,,0,T,2,36,U,F,,0,N,0,6,376,178,68,10244,0,40,21,71,0,0,A,3,0.15,4.33,0.111,5,3,1,16,17,43,42,7,6,7,10,3,5,6,15,16,52,6,3
00103775,29,,0,T,2,37,U,M,7,0,P,0,,524,204,80,10170,0,40,27,48,0,0,A,1,0.118,15,0.143,10,2,1,24,10,25,30,2,15,10,20,10,20,4,10,24,32,15,1
00103856,125,,0,R,3,51,U,F,,0,N,0,2,278,158,79,8347,0,33,21,37,1,0,F,1,0.067,15,0.167,15,1,1,18,22,59,64,6,10.67,8,15,7,15,5,15,18,125,10.67,4
00103857,77,,0,R,3,51,U,M,,0,N,0,2,278,158,79,8347,0,33,21,37,0,0,A,1,0.091,20,0.091,25,2,1,19,22,59,105,6,17.5,20,25,5,15,6,13,19,76,17.5,4
00104049,77,,0,R,3,53,U,M,1,0,P,0,,367,159,83,8893,0,50,9,56,1,1,S,4,0.455,3.4,0.667,3.5,5,4,17,17,46,38,12,3.17,2,5,3,5,6,13,17,69,3.17,8
00104108,137,70,0,C,1,22,H,F,2,1,B,1,7,609,263,55,13005,0,15,20,52,1,1,S,2,0.238,15.2,0.364,17.75,5,4,19,32,74,224,19,11.79,16,19,3,5,6,13,19,123,11.79,12
00104181,137,,0,C,1,24,U,F,4,0,M,1,,868,379,79,20126,0,36,26,39,1,0,A,3,0.267,5,0.143,5,4,1,19,22,54,63.5,17,3.74,3,5,2,5,3,6,19,128,3.74,7
00104214,137,66,0,C,2,28,H,M,6,1,B,2,6,618,251,74,15782,0,31,21,61,1,10,A,1,0.111,10,0.25,10,2,2,16,30,82,295,36,8.19,11,14,3,11,5,13,16,127,8.19,19
00104367,29,43,0,S,1,14,U,M,6,0,M,1,,858,386,90,23053,0,26,49,17,1,0,A,4,0.385,7.2,0.571,7,5,4,18,11,24,46,6,7.67,7,10,3,8,6,12,18,28,7.67,4
00104413,77,55,0,R,2,49,H,M,5,0,P,0,6,473,164,61,9819,0,28,48,39,1,0,A,4,0.263,5.8,0.125,5,5,1,18,16,42,44,8,5.5,2,7,5,6,6,12,18,77,5.5,2
00104505,29,59,0,R,2,49,H,F,5,1,B,3,,671,320,93,12950,0,47,56,26,0,0,A,2,0.176,10,0.25,7.5,3,2,23,11,26,30,3,10,10,15,5,10,5,11,23,33,10,2
00104530,41,,0,R,1,42,U,M,,1,N,0,,693,409,84,15043,0,24,39,24,0,0,A,3,0.118,22.5,0.125,20,2,1,20,12,30,78,4,19.5,15,25,10,20,6,13,20,35,19.5,1
00104584,101,61,0,S,3,21,U,F,,0,N,0,2,367,308,73,11922,0,21,31,23,0,0,A,2,0.125,13.5,0.167,12,2,1,15,20,54,73,8,9.13,12,15,3,15,5,12,15,90,9.13,4
00104614,89,69,0,S,2,16,H,F,1,0,P,0,,431,309,88,13430,0,39,25,53,1,0,A,4,0.25,5,0.4,5,3,2,16,18,49,47,12,3.92,5,8,3,5,6,16,16,89,3.92,6
00104755,65,77,0,S,1,13,H,M,6,1,B,1,,1413,634,97,27583,0,38,15,55,0,0,A,2,0.167,11.33,0.25,12,3,2,15,18,46,58,7,8.29,10,15,5,10,6,13,15,62,8.29,3
00104805,137,42,0,S,1,14,H,M,7,0,M,3,9,1935,907,97,37250,0,29,39,33,1,1,S,2,0.182,15,0.273,15,4,3,17,33,76,164,16,10.25,10,15,5,15,6,13,17,127,10.25,11
00104848,89,82,0,S,1,15,H,F,7,1,B,2,,993,285,5,20996,0,24,26,36,1,1,S,3,0.357,7.4,0.444,7.5,5,4,17,20,45,89,17,5.24,6,9,3,9,5,12,17,80,5.24,8
00104942,137,,0,R,2,43,U,M,2,1,P,0,4,246,248,89,10892,0,31,46,21,1,1,S,4,0.421,6.5,0.455,6,8,5,21,32,76,215.5,42,5.13,7,10,3,4,5,9,18,130,5.13,20
00105144,41,,0,C,3,30,U,F,1,1,M,1,,424,192,62,9813,0,54,23,26,1,0,A,4,0.278,4.2,0.444,4.5,5,4,16,14,32,32,8,4,3,6,3,3,5,12,16,40,4,5
00105206,29,51,0,C,1,22,H,M,5,0,P,0,,699,353,60,19388,1,37,33,40,0,0,A,1,0.143,20,0.167,20,2,1,26,9,22,40,2,20,0,20,20,20,4,9,26,31,20,1
00105415,113,80,0,R,3,53,U,F,1,1,B,1,1,177,174,72,9538,0,28,11,67,0,0,A,1,0.111,17.5,0,0,2,0,18,25,60,70,6,11.67,15,20,5,20,6,13,18,104,11.67,2
